mating.regime,block,stock,treatment,replicate,sex,sample.size,total.mass,mean.mass.per.fly
monogamy,2,inbred,high,10,m,3,0.652,0.217333333
monogamy,2,inbred,high,10,m,3,0.605,0.201666667
monogamy,2,inbred,high,10,m,3,0.631,0.210333333
monogamy,2,inbred,high,10,m,3,0.66,0.22
monogamy,2,inbred,high,10,m,3,0.541,0.180333333
monogamy,2,inbred,high,10,m,3,0.638,0.212666667
monogamy,2,inbred,high,10,m,3,0.636,0.212
monogamy,2,inbred,high,10,m,3,0.685,0.228333333
monogamy,2,inbred,high,11,m,3,0.756,0.252
monogamy,2,inbred,high,11,m,3,0.78,0.26
monogamy,2,inbred,high,11,m,3,0.778,0.259333333
monogamy,2,inbred,high,11,m,3,0.682,0.227333333
monogamy,2,inbred,high,11,m,3,0.612,0.204
monogamy,2,inbred,high,11,m,3,0.591,0.197
monogamy,2,inbred,high,10,m,3,0.581,0.193666667
monogamy,2,inbred,high,10,m,3,0.604,0.201333333
monogamy,2,inbred,high,11,m,3,0.76,0.253333333
monogamy,2,inbred,high,11,m,3,0.818,0.272666667
monogamy,2,inbred,high,11,m,3,0.785,0.261666667
monogamy,2,inbred,high,11,m,3,0.799,0.266333333
monogamy,2,inbred,high,12,m,3,0.745,0.248333333
monogamy,2,inbred,high,12,m,3,0.774,0.258
monogamy,2,inbred,high,12,m,3,0.771,0.257
monogamy,2,inbred,high,12,m,3,0.737,0.245666667
monogamy,2,inbred,high,12,m,3,0.763,0.254333333
monogamy,2,inbred,high,12,m,3,0.732,0.244
monogamy,2,inbred,high,12,m,3,0.765,0.255
monogamy,2,inbred,high,12,m,3,0.752,0.250666667
monogamy,2,inbred,high,12,m,3,0.736,0.245333333
monogamy,2,inbred,high,12,m,3,0.73,0.243333333
monogamy,2,inbred,high,13,m,3,0.697,0.232333333
monogamy,2,inbred,high,13,m,3,0.768,0.256
monogamy,2,inbred,high,13,m,3,0.75,0.25
monogamy,2,inbred,high,13,m,3,0.703,0.234333333
monogamy,2,inbred,high,13,m,3,0.774,0.258
monogamy,2,inbred,high,13,m,3,0.76,0.253333333
monogamy,2,inbred,high,13,m,3,0.759,0.253
monogamy,2,inbred,high,13,m,3,0.748,0.249333333
monogamy,2,inbred,high,13,m,3,0.764,0.254666667
monogamy,2,inbred,high,13,m,3,0.761,0.253666667
